part_number,manufacturer,condition,price,quantity,status,description
F0HM00RWPB,Lenovo,NEW,823.69,12,ON-SITE,Lenovo IdeaCentre AIO 27IRH9 Intel® Core™ i5 i5-13420H 68.6 cm (27 ) FHD Touch All-in-One PC 16 GB DDR5-SDRAM 1TB SSD Windows 11 Home Wi-Fi 6 (802.11ax) Grey
Modern AM242P 1M-2088XEU,MSI,NEW,710.49,12,ON-SITE,MSI Modern AM242P 1M-2088XEU Intel Core 5 120U 60.5 cm (23.8 ) 1920 x 1080 pixels All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Wi-Fi 6E (802.11ax) Black
PRO AP242P 14M-1096XEU,MSI,NEW,1062.91,12,ON-SITE,MSI Pro AP242P 14M-813EU Intel® Core™ i7 i7-14700 60.5 cm (23.8 ) 1920 x 1080 pixels All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD NoOS Wi-Fi 6E (802.11ax) Black
Modern AM272P 1M-1293XEU,MSI,NEW,799.03,11,ON-SITE,MSI Modern AM272P 1M-1293XEU All-in-One PC/workstation Intel Core 5 120U 68.6 cm (27 ) 1920 x 1080 pixels 16 GB DDR5-SDRAM 512 GB SSD Wi-Fi 6E (802.11ax) Black
F0JW001WPB,Lenovo,NEW,824,10,ON-SITE,Lenovo IdeaCentre AIO 27ILL11 Ultra 5 226V 27 FHD IPS 300 nits LBL AG 16GB LPDDR5X-8533 512GB SSD Intel Arc Graphics 130V 5.0MP camera Windows 11 Cloud Grey
F0JY001WPB,Lenovo,NEW,1098.6,10,ON-SITE,Lenovo IdeaCentre AIO 24ILL11 23.8 Touch Intel Core Ultra 7 256V 16GB 1TB SSD Win11 Home
F0JY001XPB,Lenovo,NEW,1010.71,10,ON-SITE,Lenovo IdeaCentre AIO 24ILL11 23.8 Non-touch Intel Core Ultra 7 256V 16GB 1TB SSD Win11 Home
F0JY0021PB,Lenovo,NEW,790.93,9,ON-SITE,Lenovo IdeaCentre AIO 24ILL11 Ultra 5 226V 23.8 FHD Touch IPS 250 nits 100 Hz AG 16 GB LPDDR5X-8533 1 TB SSD Intel Arc Graphics 130V 5.0 MP camera Windows 11 Cloud Grey
F0JY0022PB,Lenovo,NEW,888.58,9,ON-SITE,Lenovo IdeaCentre AIO 24ILL11 Ultra 5 226V 23.8 FHD IPS 250 nits 100 Hz AG 16 GB LPDDR5X-8533 1 TB SSD Intel Arc Graphics 130V 5.0 MP webcam Windows 11 Cloud Grey
F0HN00SJPB,Lenovo,NEW,840.01,8,ON-SITE,Lenovo IdeaCentre AIO 24IRH9 Intel® Core™ i7 i7-13620H 60.5 cm (23.8 ) FHD All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD Windows 11 Home Wi-Fi 6 (802.11ax) Grey
PRO AP242P 14M-813EU,MSI,NEW,1183.87,8,ON-SITE,MSI Pro AP242P 14M-813EU Intel® Core™ i7 i7-14700 60.5 cm (23.8 ) 1920 x 1080 pixels All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD Windows 11 Pro Wi-Fi 6E (802.11ax) Black
VM640KA-WPC046W,ASUS,NEW,709.62,8,ON-SITE,ASUS AIO VM640KA-WPC046W Ryzen AI 5 330 23.8 FHD 100Hz 250 nits Wide View AG 16GB DDR5 512GB SSD Radeon 820M WLAN + Bluetooth 5MP camera + IR Windows 11 White 2-year door-to-door warranty
F0HM00RUPB,Lenovo,NEW,889.91,7,ON-SITE,Lenovo IdeaCentre AIO 27IRH9 Intel® Core™ i5 i5-13420H 68.6 cm (27 ) QHD All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD Windows 11 Home Wi-Fi 6 (802.11ax) Grey
